repository_language,month,commits
SuperCollider,2013-09-01,692
Verilog,2013-09-01,1384
Haskell,2013-09-01,26992
ActionScript,2013-09-01,9629
Erlang,2013-09-01,14800
Nemerle,2013-09-01,538
Lua,2013-09-01,24434
Perl,2013-09-01,55158
CoffeeScript,2013-09-01,46678
Clojure,2013-09-01,21607
Arduino,2013-09-01,5520
Emacs Lisp,2013-09-01,24604
Visual Basic,2013-09-01,4570
Racket,2013-09-01,3410
Prolog,2013-09-01,2329
Dart,2013-09-01,4325
VimL,2013-09-01,49220
Scala,2013-09-01,85066
Objective-J,2013-09-01,243
Elixir,2013-09-01,3299
Scheme,2013-09-01,2911
Logos,2013-09-01,4645
ASP,2013-09-01,2554
Matlab,2013-09-01,11284
D,2013-09-01,6469
Go,2013-09-01,50543
C++,2013-09-01,299493
Ruby,2013-09-01,541035
Java,2013-09-01,623504
JavaScript,2013-09-01,1157436
CSS,2013-09-01,337288
C#,2013-09-01,121198
C,2013-09-01,290287
Objective-C,2013-09-01,138213
PHP,2013-09-01,481013
TypeScript,2013-09-01,10292
Delphi,2013-09-01,2794
Shell,2013-09-01,153538
ColdFusion,2013-09-01,2784
Python,2013-09-01,549521
XSLT,2013-09-01,5896
R,2013-09-01,17422
,2013-09-01,1367192
Ecl,2013-08-01,79
Pure Data,2013-08-01,257
wisp,2013-08-01,26
ooc,2013-08-01,179
XProc,2013-08-01,72
eC,2013-08-01,17
MoonScript,2013-08-01,65
Monkey,2013-08-01,53
CLIPS,2013-08-01,30
Bro,2013-08-01,65
Scilab,2013-08-01,98
Dylan,2013-08-01,443
Ada,2013-08-01,461
PogoScript,2013-08-01,10
HaXe,2013-08-01,290
Kotlin,2013-08-01,407
Vala,2013-08-01,1697
XQuery,2013-08-01,395
Boo,2013-08-01,46
DCPU-16-01 ASM,2013-08-01,33
Fancy,2013-08-01,8
Ragel in Ruby Host,2013-08-01,18
Self,2013-08-01,4
Arc,2013-08-01,81
Augeas,2013-08-01,155
XC,2013-08-01,48
Forth,2013-08-01,23
Nu,2013-08-01,13
Ceylon,2013-08-01,101
ABAP,2013-08-01,9
Max,2013-08-01,10
Pike,2013-08-01,6
Fantom,2013-08-01,2
Omgrofl,2013-08-01,3
Turing,2013-08-01,2
Opa,2013-08-01,3
Rouge,2013-08-01,4
Nemerle,2013-08-01,372
VimL,2013-08-01,57548
Scala,2013-08-01,112932
CoffeeScript,2013-08-01,50615
Arduino,2013-08-01,4639
TypeScript,2013-08-01,10813
XML,2013-08-01,1265
Haskell,2013-08-01,28037
Rust,2013-08-01,14105
Scheme,2013-08-01,5317
Assembly,2013-08-01,3083
LiveScript,2013-08-01,1298
Clojure,2013-08-01,24171
Common Lisp,2013-08-01,4518
CSS,2013-08-01,363979
PowerShell,2013-08-01,4139
,2013-08-01,1241579
C#,2013-08-01,128184
C,2013-08-01,300080
Objective-C,2013-08-01,143228
Java,2013-08-01,632565
ActionScript,2013-08-01,11339
Processing,2013-08-01,2915
ColdFusion,2013-08-01,2257
D,2013-08-01,7736
Visual Basic,2013-08-01,4198
Erlang,2013-08-01,17796
XSLT,2013-08-01,6538
VHDL,2013-08-01,1179
Mirah,2013-08-01,74
R,2013-08-01,17577
Haxe,2013-08-01,4126
JavaScript,2013-08-01,1244973
Emacs Lisp,2013-08-01,25948
Puppet,2013-08-01,16140
DOT,2013-08-01,1349
Groovy,2013-08-01,12901
FORTRAN,2013-08-01,3971
Julia,2013-08-01,6576
Lua,2013-08-01,25170
Tcl,2013-08-01,1062
Perl,2013-08-01,58139
SuperCollider,2013-08-01,583
Logos,2013-08-01,4075
Rebol,2013-08-01,109
Lasso,2013-08-01,915
F#,2013-08-01,2005
Smalltalk,2013-08-01,857
Io,2013-08-01,164
Prolog,2013-08-01,2387
Coq,2013-08-01,1083
Objective-J,2013-08-01,527
Racket,2013-08-01,2682
Apex,2013-08-01,1052
Factor,2013-08-01,311
Nimrod,2013-08-01,397
Slash,2013-08-01,358
Eiffel,2013-08-01,824
Xtend,2013-08-01,192
Gosu,2013-08-01,333
AppleScript,2013-08-01,271
Logtalk,2013-08-01,72
M,2013-08-01,397
Awk,2013-08-01,199
AutoHotkey,2013-08-01,1088
Shell,2013-08-01,166739
Go,2013-08-01,57020
C++,2013-08-01,320439
PHP,2013-08-01,501713
Ruby,2013-08-01,606056
Python,2013-08-01,607381
Elixir,2013-08-01,4463
Matlab,2013-08-01,10130
OCaml,2013-08-01,8338
ASP,2013-08-01,2478
Delphi,2013-08-01,3857
Parrot,2013-08-01,168
Verilog,2013-08-01,1592
Standard ML,2013-08-01,632
OpenEdge ABL,2013-08-01,788
Dart,2013-08-01,4058
Opa,2013-07-01,6
Arduino,2013-07-01,5339
Self,2013-07-01,4
Ioke,2013-07-01,1
Xtend,2013-07-01,287
Max,2013-07-01,61
Ecl,2013-07-01,24
Rebol,2013-07-01,120
Slash,2013-07-01,266
ABAP,2013-07-01,11
Boo,2013-07-01,48
CLIPS,2013-07-01,87
MoonScript,2013-07-01,78
Bro,2013-07-01,29
XProc,2013-07-01,232
Forth,2013-07-01,83
wisp,2013-07-01,6
Logtalk,2013-07-01,25
Parrot,2013-07-01,200
Fancy,2013-07-01,40
XQuery,2013-07-01,285
Mirah,2013-07-01,13
PogoScript,2013-07-01,27
CSS,2013-07-01,11819
ooc,2013-07-01,116
Ceylon,2013-07-01,88
Monkey,2013-07-01,13
Nu,2013-07-01,12
ColdFusion,2013-07-01,2805
Haskell,2013-07-01,23672
Dart,2013-07-01,5757
DOT,2013-07-01,1605
FORTRAN,2013-07-01,3912
Apex,2013-07-01,725
Groovy,2013-07-01,12964
Lasso,2013-07-01,1034
TypeScript,2013-07-01,11111
Julia,2013-07-01,7659
Nimrod,2013-07-01,627
Io,2013-07-01,171
Racket,2013-07-01,3035
OCaml,2013-07-01,6778
Assembly,2013-07-01,2886
Visual Basic,2013-07-01,4205
SuperCollider,2013-07-01,941
Delphi,2013-07-01,3882
Gosu,2013-07-01,223
Scilab,2013-07-01,217
Matlab,2013-07-01,10495
Logos,2013-07-01,4194
Augeas,2013-07-01,71
Perl,2013-07-01,60776
JavaScript,2013-07-01,1465584
Java,2013-07-01,651386
C,2013-07-01,285340
Python,2013-07-01,632092
Objective-C,2013-07-01,149310
Ruby,2013-07-01,656587
Lua,2013-07-01,24286
Puppet,2013-07-01,16331
Shell,2013-07-01,170131
Erlang,2013-07-01,13332
Emacs Lisp,2013-07-01,23052
Common Lisp,2013-07-01,4457
Rust,2013-07-01,11994
CoffeeScript,2013-07-01,50231
Clojure,2013-07-01,24816
C++,2013-07-01,320758
,2013-07-01,1176726
PHP,2013-07-01,521345
C#,2013-07-01,128368
Haxe,2013-07-01,4829
VimL,2013-07-01,55495
Eiffel,2013-07-01,310
Turing,2013-07-01,38
Tcl,2013-07-01,1163
LiveScript,2013-07-01,758
R,2013-07-01,17231
ActionScript,2013-07-01,11782
Scala,2013-07-01,48787
Go,2013-07-01,48732
Awk,2013-07-01,118
Arc,2013-07-01,175
DCPU-16-01 ASM,2013-07-01,61
OpenEdge ABL,2013-07-01,1223
XML,2013-07-01,1845
Dylan,2013-07-01,605
Ragel in Ruby Host,2013-07-01,94
eC,2013-07-01,23
XC,2013-07-01,97
Pike,2013-07-01,33
Objective-J,2013-07-01,565
Kotlin,2013-07-01,336
Pure Data,2013-07-01,582
Coq,2013-07-01,727
XSLT,2013-07-01,6169
Elixir,2013-07-01,4765
HaXe,2013-07-01,356
Processing,2013-07-01,2771
Prolog,2013-07-01,2809
Vala,2013-07-01,3079
Scheme,2013-07-01,10389
PowerShell,2013-07-01,3425
D,2013-07-01,6007
Smalltalk,2013-07-01,1227
Factor,2013-07-01,387
F#,2013-07-01,2872
Verilog,2013-07-01,1469
M,2013-07-01,349
Nemerle,2013-07-01,406
VHDL,2013-07-01,1601
Ada,2013-07-01,694
AutoHotkey,2013-07-01,1038
ASP,2013-07-01,3049
AppleScript,2013-07-01,325
Standard ML,2013-07-01,764
SuperCollider,2013-06-01,490
ASP,2013-06-01,3095
M,2013-06-01,265
LiveScript,2013-06-01,727
Monkey,2013-06-01,111
ooc,2013-06-01,40
Nemerle,2013-06-01,244
Haxe,2013-06-01,4466
ColdFusion,2013-06-01,3321
F#,2013-06-01,2924
Lasso,2013-06-01,1468
Arc,2013-06-01,146
FORTRAN,2013-06-01,3337
Matlab,2013-06-01,10549
Standard ML,2013-06-01,649
ActionScript,2013-06-01,10713
Julia,2013-06-01,7157
Gosu,2013-06-01,255
Pure Data,2013-06-01,319
PowerShell,2013-06-01,3561
XML,2013-06-01,2659
Rust,2013-06-01,10007
Assembly,2013-06-01,3854
Nimrod,2013-06-01,381
Arduino,2013-06-01,4863
Logos,2013-06-01,5802
Tcl,2013-06-01,919
Visual Basic,2013-06-01,3582
Scilab,2013-06-01,312
Scheme,2013-06-01,2958
CLIPS,2013-06-01,75
Parrot,2013-06-01,239
Objective-J,2013-06-01,706
AppleScript,2013-06-01,382
Io,2013-06-01,301
Kotlin,2013-06-01,147
Apex,2013-06-01,838
Ada,2013-06-01,456
Xtend,2013-06-01,210
eC,2013-06-01,11
Awk,2013-06-01,218
Ceylon,2013-06-01,135
AutoHotkey,2013-06-01,971
XSLT,2013-06-01,4173
XQuery,2013-06-01,298
MoonScript,2013-06-01,41
Boo,2013-06-01,152
Fancy,2013-06-01,25
Rouge,2013-06-01,1
Self,2013-06-01,2
Coq,2013-06-01,518
Pike,2013-06-01,12
Augeas,2013-06-01,72
Factor,2013-06-01,213
Vala,2013-06-01,1149
Verilog,2013-06-01,1455
DOT,2013-06-01,1310
Rebol,2013-06-01,176
Processing,2013-06-01,3897
XProc,2013-06-01,40
DCPU-16-01 ASM,2013-06-01,90
Smalltalk,2013-06-01,839
OpenEdge ABL,2013-06-01,564
Eiffel,2013-06-01,336
Ioke,2013-06-01,24
HaXe,2013-06-01,384
Forth,2013-06-01,42
Logtalk,2013-06-01,26
Python,2013-06-01,548917
Elixir,2013-06-01,4355
Erlang,2013-06-01,13745
,2013-06-01,1208160
Racket,2013-06-01,2961
Java,2013-06-01,627440
C,2013-06-01,274229
Ruby,2013-06-01,583769
Shell,2013-06-01,147028
Go,2013-06-01,41578
Scala,2013-06-01,42722
PHP,2013-06-01,474181
OCaml,2013-06-01,7944
JavaScript,2013-06-01,1274694
Ecl,2013-06-01,20
Ragel in Ruby Host,2013-06-01,57
PogoScript,2013-06-01,49
Mirah,2013-06-01,9
ABAP,2013-06-01,9
wisp,2013-06-01,7
Opa,2013-06-01,42
Bro,2013-06-01,10
Turing,2013-06-01,44
Nu,2013-06-01,19
Perl,2013-06-01,58065
TypeScript,2013-06-01,10164
Dart,2013-06-01,6002
Max,2013-06-01,37
Dylan,2013-06-01,210
D,2013-06-01,6515
Puppet,2013-06-01,14149
Haskell,2013-06-01,21914
VHDL,2013-06-01,1750
Common Lisp,2013-06-01,5632
C#,2013-06-01,122686
Groovy,2013-06-01,12299
R,2013-06-01,15847
Clojure,2013-06-01,22904
Delphi,2013-06-01,3896
Emacs Lisp,2013-06-01,21007
Objective-C,2013-06-01,128880
Prolog,2013-06-01,9225
Lua,2013-06-01,22819
VimL,2013-06-01,47190
CoffeeScript,2013-06-01,45048
C++,2013-06-01,290552
R,2013-05-01,15679
FORTRAN,2013-05-01,3597
Common Lisp,2013-05-01,4760
VHDL,2013-05-01,2422
XML,2013-05-01,6551
OCaml,2013-05-01,7219
PowerShell,2013-05-01,3011
ActionScript,2013-05-01,12251
Haxe,2013-05-01,14810
Elixir,2013-05-01,3001
Visual Basic,2013-05-01,3559
TypeScript,2013-05-01,10891
C#,2013-05-01,137637
F#,2013-05-01,2399
Nu,2013-05-01,16
CLIPS,2013-05-01,18
Max,2013-05-01,43
Augeas,2013-05-01,106
Assembly,2013-05-01,4321
Prolog,2013-05-01,2632
Matlab,2013-05-01,12649
Vala,2013-05-01,1836
XQuery,2013-05-01,357
ooc,2013-05-01,138
Logtalk,2013-05-01,149
ColdFusion,2013-05-01,3138
Verilog,2013-05-01,1636
Emacs Lisp,2013-05-01,24522
Processing,2013-05-01,3327
Lua,2013-05-01,23574
C,2013-05-01,292236
Perl,2013-05-01,59494
Puppet,2013-05-01,14046
Clojure,2013-05-01,24411
Rust,2013-05-01,11812
Logos,2013-05-01,6698
CoffeeScript,2013-05-01,47922
Shell,2013-05-01,154479
Python,2013-05-01,554833
Delphi,2013-05-01,4038
,2013-05-01,1083988
JavaScript,2013-05-01,1285508
PHP,2013-05-01,509346
Haskell,2013-05-01,22276
Java,2013-05-01,707009
C++,2013-05-01,334840
Ruby,2013-05-01,608295
VimL,2013-05-01,49469
Opa,2013-05-01,15
Standard ML,2013-05-01,11698
D,2013-05-01,5782
Erlang,2013-05-01,13719
Groovy,2013-05-01,11799
Go,2013-05-01,39896
Kotlin,2013-05-01,260
Omgrofl,2013-05-01,3
Objective-C,2013-05-01,142519
Eiffel,2013-05-01,392
Pike,2013-05-01,7
Boo,2013-05-01,77
Ada,2013-05-01,613
Io,2013-05-01,220
Rouge,2013-05-01,2
Scala,2013-05-01,45792
AutoHotkey,2013-05-01,892
AppleScript,2013-05-01,348
Ioke,2013-05-01,1
Bro,2013-05-01,14
Arc,2013-05-01,77
Tcl,2013-05-01,1039
LiveScript,2013-05-01,764
Parrot,2013-05-01,178
Rebol,2013-05-01,99
Nimrod,2013-05-01,438
HaXe,2013-05-01,512
Smalltalk,2013-05-01,1055
Gosu,2013-05-01,154
Dylan,2013-05-01,162
Coq,2013-05-01,1499
Fancy,2013-05-01,27
ABAP,2013-05-01,4
Xtend,2013-05-01,176
Monkey,2013-05-01,84
OpenEdge ABL,2013-05-01,463
Turing,2013-05-01,61
Forth,2013-05-01,32
MoonScript,2013-05-01,53
Scilab,2013-05-01,230
DCPU-16-01 ASM,2013-05-01,322
Nemerle,2013-05-01,342
Awk,2013-05-01,271
SuperCollider,2013-05-01,826
Ecl,2013-05-01,48
eC,2013-05-01,7
PogoScript,2013-05-01,24
Ragel in Ruby Host,2013-05-01,16
Ceylon,2013-05-01,124
Fantom,2013-05-01,6
Apex,2013-05-01,809
Lasso,2013-05-01,1440
Pure Data,2013-05-01,553
Mirah,2013-05-01,5
Julia,2013-05-01,6168
DOT,2013-05-01,1451
Racket,2013-05-01,2985
Objective-J,2013-05-01,666
Dart,2013-05-01,4983
ASP,2013-05-01,3506
Factor,2013-05-01,413
Arduino,2013-05-01,5354
Scheme,2013-05-01,3493
Self,2013-05-01,3
Arc,2013-04-01,121
Max,2013-04-01,11
Boo,2013-04-01,99
Self,2013-04-01,5
eC,2013-04-01,4
Rebol,2013-04-01,45
Turing,2013-04-01,52
Scilab,2013-04-01,113
Rouge,2013-04-01,11
ooc,2013-04-01,94
CLIPS,2013-04-01,44
Fancy,2013-04-01,7
Monkey,2013-04-01,68
Logtalk,2013-04-01,61
Dylan,2013-04-01,198
Bro,2013-04-01,21
ABAP,2013-04-01,10
Pike,2013-04-01,31
Ceylon,2013-04-01,118
Mirah,2013-04-01,5
AppleScript,2013-04-01,436
Dart,2013-04-01,6523
DOT,2013-04-01,1659
Julia,2013-04-01,6586
Rust,2013-04-01,7883
Ragel in Ruby Host,2013-04-01,68
Pure Data,2013-04-01,359
DCPU-16-01 ASM,2013-04-01,837
Gosu,2013-04-01,184
Augeas,2013-04-01,66
Xtend,2013-04-01,135
Awk,2013-04-01,185
XML,2013-04-01,7164
AutoHotkey,2013-04-01,743
Io,2013-04-01,149
C++,2013-04-01,325783
Haxe,2013-04-01,3774
Parrot,2013-04-01,200
HaXe,2013-04-01,585
Nu,2013-04-01,163
Apex,2013-04-01,761
Nimrod,2013-04-01,276
XQuery,2013-04-01,349
VimL,2013-04-01,53659
Python,2013-04-01,545126
Java,2013-04-01,695645
,2013-04-01,1198616
JavaScript,2013-04-01,1248438
C,2013-04-01,289253
C#,2013-04-01,130789
PHP,2013-04-01,501442
Groovy,2013-04-01,12261
Eiffel,2013-04-01,787
Ruby,2013-04-01,604376
Objective-C,2013-04-01,142332
D,2013-04-01,4641
Shell,2013-04-01,142986
Lua,2013-04-01,25329
Clojure,2013-04-01,22659
Matlab,2013-04-01,14345
Puppet,2013-04-01,13362
Go,2013-04-01,34239
TypeScript,2013-04-01,10361
Forth,2013-04-01,18
Ecl,2013-04-01,35
Vala,2013-04-01,1256
Verilog,2013-04-01,2325
PowerShell,2013-04-01,2964
Smalltalk,2013-04-01,1218
Kotlin,2013-04-01,398
Nemerle,2013-04-01,258
Visual Basic,2013-04-01,3849
F#,2013-04-01,2714
LiveScript,2013-04-01,758
Delphi,2013-04-01,3378
Ioke,2013-04-01,9
Processing,2013-04-01,4078
Prolog,2013-04-01,1954
Factor,2013-04-01,969
ColdFusion,2013-04-01,3385
Opa,2013-04-01,15
Fantom,2013-04-01,36
Arduino,2013-04-01,5366
ASP,2013-04-01,4238
Tcl,2013-04-01,728
OCaml,2013-04-01,6555
Racket,2013-04-01,2770
Assembly,2013-04-01,4164
Elixir,2013-04-01,1560
Haskell,2013-04-01,21973
OpenEdge ABL,2013-04-01,560
SuperCollider,2013-04-01,483
Coq,2013-04-01,2878
Ada,2013-04-01,740
CoffeeScript,2013-04-01,51110
FORTRAN,2013-04-01,3014
Objective-J,2013-04-01,862
R,2013-04-01,14967
Logos,2013-04-01,5950
ActionScript,2013-04-01,12223
Standard ML,2013-04-01,6913
MoonScript,2013-04-01,145
Emacs Lisp,2013-04-01,25918
Perl,2013-04-01,58350
Scheme,2013-04-01,3858
Lasso,2013-04-01,1623
PogoScript,2013-04-01,232
Scala,2013-04-01,46057
Erlang,2013-04-01,14983
VHDL,2013-04-01,2450
Common Lisp,2013-04-01,4935
Rebol,2013-03-01,85
C,2013-03-01,288989
Ruby,2013-03-01,590734
Nu,2013-03-01,16
C++,2013-03-01,277404
Python,2013-03-01,524146
Scilab,2013-03-01,168
Nimrod,2013-03-01,235
Logtalk,2013-03-01,153
Fantom,2013-03-01,33
Nemerle,2013-03-01,317
ABAP,2013-03-01,4
Max,2013-03-01,8
Pike,2013-03-01,9
Ragel in Ruby Host,2013-03-01,3
C#,2013-03-01,118749
Scala,2013-03-01,40270
Julia,2013-03-01,6975
VimL,2013-03-01,52260
Shell,2013-03-01,137059
Ioke,2013-03-01,17
CLIPS,2013-03-01,93
Vala,2013-03-01,987
Groovy,2013-03-01,11696
Perl,2013-03-01,59402
Haskell,2013-03-01,23968
Java,2013-03-01,659667
Turing,2013-03-01,29
Objective-C,2013-03-01,167473
Emacs Lisp,2013-03-01,24905
CoffeeScript,2013-03-01,48390
Mirah,2013-03-01,9
PHP,2013-03-01,489240
Rust,2013-03-01,7823
JavaScript,2013-03-01,1219638
,2013-03-01,1219581
Assembly,2013-03-01,3739
Logos,2013-03-01,3422
ColdFusion,2013-03-01,2843
Processing,2013-03-01,1320
Arduino,2013-03-01,4215
Factor,2013-03-01,1013
TypeScript,2013-03-01,5953
F#,2013-03-01,2735
HaXe,2013-03-01,1883
Ada,2013-03-01,483
Smalltalk,2013-03-01,960
Verilog,2013-03-01,2091
Standard ML,2013-03-01,689
Apex,2013-03-01,726
XQuery,2013-03-01,457
Objective-J,2013-03-01,1656
Elixir,2013-03-01,1222
Dylan,2013-03-01,338
Kotlin,2013-03-01,340
PowerShell,2013-03-01,3082
Pure Data,2013-03-01,299
XML,2013-03-01,5306
D,2013-03-01,6063
Lasso,2013-03-01,2498
ASP,2013-03-01,2997
Lua,2013-03-01,24150
Puppet,2013-03-01,12509
Common Lisp,2013-03-01,4690
Matlab,2013-03-01,12440
Delphi,2013-03-01,3959
ActionScript,2013-03-01,12169
Coq,2013-03-01,599
FORTRAN,2013-03-01,2685
Tcl,2013-03-01,985
OCaml,2013-03-01,6671
Erlang,2013-03-01,15166
Prolog,2013-03-01,1993
Visual Basic,2013-03-01,3381
Racket,2013-03-01,3099
Gosu,2013-03-01,203
Scheme,2013-03-01,3907
Augeas,2013-03-01,88
Bro,2013-03-01,38
Monkey,2013-03-01,81
Ecl,2013-03-01,14
Self,2013-03-01,8
Ceylon,2013-03-01,302
Io,2013-03-01,189
ooc,2013-03-01,452
SuperCollider,2013-03-01,279
Eiffel,2013-03-01,842
Awk,2013-03-01,136
Xtend,2013-03-01,198
Opa,2013-03-01,4
LiveScript,2013-03-01,536
PogoScript,2013-03-01,10
Forth,2013-03-01,11
Fancy,2013-03-01,20
Dart,2013-03-01,5049
Boo,2013-03-01,85
DCPU-16-01 ASM,2013-03-01,217
AppleScript,2013-03-01,389
DOT,2013-03-01,705
Arc,2013-03-01,110
eC,2013-03-01,20
TXL,2013-03-01,1
VHDL,2013-03-01,2241
OpenEdge ABL,2013-03-01,560
Parrot,2013-03-01,311
R,2013-03-01,13885
Go,2013-03-01,30343
AutoHotkey,2013-03-01,619
Clojure,2013-03-01,25294
Haxe,2013-03-01,1972
CoffeeScript,2013-02-01,40437
Delphi,2013-02-01,2579
Erlang,2013-02-01,11603
VimL,2013-02-01,40597
ActionScript,2013-02-01,9643
XQuery,2013-02-01,437
Standard ML,2013-02-01,485
Java,2013-02-01,480296
Shell,2013-02-01,112592
Clojure,2013-02-01,15734
Matlab,2013-02-01,6372
Julia,2013-02-01,5195
Lua,2013-02-01,17243
Go,2013-02-01,16776
Scala,2013-02-01,37530
Groovy,2013-02-01,10934
Perl,2013-02-01,49153
Rust,2013-02-01,6288
C++,2013-02-01,229302
C,2013-02-01,231151
Objective-C,2013-02-01,119365
Racket,2013-02-01,2780
Common Lisp,2013-02-01,3696
HaXe,2013-02-01,2151
Verilog,2013-02-01,913
Arduino,2013-02-01,2888
FORTRAN,2013-02-01,1970
Elixir,2013-02-01,1360
Dart,2013-02-01,3926
ASP,2013-02-01,1582
ColdFusion,2013-02-01,2364
Haskell,2013-02-01,18035
Vala,2013-02-01,643
Coq,2013-02-01,631
F#,2013-02-01,2061
Puppet,2013-02-01,8629
Scilab,2013-02-01,157
Apex,2013-02-01,529
Prolog,2013-02-01,1497
Objective-J,2013-02-01,2712
PowerShell,2013-02-01,1847
VHDL,2013-02-01,1150
Kotlin,2013-02-01,456
Tcl,2013-02-01,908
Assembly,2013-02-01,2669
R,2013-02-01,10050
D,2013-02-01,5696
OCaml,2013-02-01,5567
OpenEdge ABL,2013-02-01,750
Emacs Lisp,2013-02-01,20110
Scheme,2013-02-01,2071
Visual Basic,2013-02-01,2622
ooc,2013-02-01,235
Ecl,2013-02-01,51
Boo,2013-02-01,67
Factor,2013-02-01,203
AppleScript,2013-02-01,239
Pure Data,2013-02-01,222
Fancy,2013-02-01,18
Arc,2013-02-01,130
Nimrod,2013-02-01,4
Io,2013-02-01,200
Self,2013-02-01,60
Ada,2013-02-01,501
Ceylon,2013-02-01,323
eC,2013-02-01,42
Ioke,2013-02-01,13
Opa,2013-02-01,12
Mirah,2013-02-01,10
Turing,2013-02-01,17
Logtalk,2013-02-01,118
Nemerle,2013-02-01,10276
Gosu,2013-02-01,121
Bro,2013-02-01,114
Smalltalk,2013-02-01,938
Max,2013-02-01,7
Nu,2013-02-01,7
Rebol,2013-02-01,76
AutoHotkey,2013-02-01,328
C#,2013-02-01,91297
Python,2013-02-01,406508
Fantom,2013-02-01,9
SuperCollider,2013-02-01,137
JavaScript,2013-02-01,944989
PHP,2013-02-01,405954
Ruby,2013-02-01,459877
,2013-02-01,1505580
Augeas,2013-02-01,30
Dylan,2013-02-01,144
Eiffel,2013-02-01,242
DCPU-16-01 ASM,2013-02-01,246
Parrot,2013-02-01,312
Ada,2013-01-01,493
Apex,2013-01-01,463
XQuery,2013-01-01,407
Arc,2013-01-01,27
Mirah,2013-01-01,36
Nimrod,2013-01-01,12
Nu,2013-01-01,7
Nemerle,2013-01-01,193
Max/MSP,2013-01-01,1
Max,2013-01-01,74
Scilab,2013-01-01,341
Opa,2013-01-01,31
ASP,2013-01-01,1640
Rebol,2013-01-01,92
Gosu,2013-01-01,116
Eiffel,2013-01-01,261
Puppet,2013-01-01,8148
DCPU-16-01 ASM,2013-01-01,215
Matlab,2013-01-01,6884
Groovy,2013-01-01,10865
Dart,2013-01-01,3768
Prolog,2013-01-01,1952
Smalltalk,2013-01-01,1098
Racket,2013-01-01,2989
Verilog,2013-01-01,1076
Tcl,2013-01-01,910
Delphi,2013-01-01,2717
OCaml,2013-01-01,5337
Lua,2013-01-01,20571
Visual Basic,2013-01-01,2096
Assembly,2013-01-01,2519
Parrot,2013-01-01,278
Fancy,2013-01-01,13
ooc,2013-01-01,137
Objective-J,2013-01-01,1217
Fantom,2013-01-01,1
Ioke,2013-01-01,15
Vala,2013-01-01,698
Kotlin,2013-01-01,344
Ceylon,2013-01-01,102
Dylan,2013-01-01,118
Io,2013-01-01,91
Logtalk,2013-01-01,85
VHDL,2013-01-01,746
Coq,2013-01-01,373
AppleScript,2013-01-01,406
Common Lisp,2013-01-01,3936
Augeas,2013-01-01,131
Standard ML,2013-01-01,436
PowerShell,2013-01-01,2141
HaXe,2013-01-01,2199
D,2013-01-01,5278
Haskell,2013-01-01,19674
Objective-C,2013-01-01,136300
Shell,2013-01-01,114665
SuperCollider,2013-01-01,63
Emacs Lisp,2013-01-01,21850
Factor,2013-01-01,230
ActionScript,2013-01-01,12551
C#,2013-01-01,89375
C++,2013-01-01,222282
Clojure,2013-01-01,18073
R,2013-01-01,10482
,2013-01-01,1260958
OpenEdge ABL,2013-01-01,739
Erlang,2013-01-01,13378
Self,2013-01-01,77
AutoHotkey,2013-01-01,328
Pure Data,2013-01-01,139
Arduino,2013-01-01,3185
VimL,2013-01-01,41046
Scala,2013-01-01,43132
Rust,2013-01-01,3904
FORTRAN,2013-01-01,2303
Julia,2013-01-01,4863
CoffeeScript,2013-01-01,36084
Java,2013-01-01,499898
eC,2013-01-01,6
F#,2013-01-01,1694
Ruby,2013-01-01,470292
ColdFusion,2013-01-01,1972
Elixir,2013-01-01,1409
Go,2013-01-01,20077
PHP,2013-01-01,419171
Turing,2013-01-01,62
Ecl,2013-01-01,22
Boo,2013-01-01,117
Bro,2013-01-01,15
Scheme,2013-01-01,1863
Python,2013-01-01,404530
Perl,2013-01-01,47119
